iter	Logloss
0	0.6584833781
1	0.6289344279
2	0.6005171712
3	0.5790053304
4	0.5588352458
5	0.5411714681
6	0.5247409058
7	0.5113760885
8	0.4998578898
9	0.4898655192
10	0.4790804545
11	0.4695107524
12	0.4608873494
13	0.4524833171
14	0.4450773112
15	0.437927297
16	0.4324001567
17	0.4273683167
18	0.4226248678
19	0.4191944377
20	0.4153072611
21	0.4118974304
22	0.4086115774
23	0.4056493378
24	0.4035064189
25	0.4008860779
26	0.3983463796
27	0.3954334768
28	0.3935105133
29	0.3917679087
30	0.3896926371
31	0.3883500417
32	0.3871048991
33	0.3856911214
34	0.3846628571
35	0.3836689758
36	0.3823220062
37	0.3811470286
38	0.3803053538
39	0.3791266886
40	0.3782576752
41	0.3770556641
42	0.3761150869
43	0.3752690887
44	0.3741126251
45	0.3731655629
46	0.3721566264
47	0.3713263448
48	0.3706675212
49	0.3700674947
50	0.3694113159
51	0.3686539714
52	0.3681550852
53	0.3676535034
54	0.367014389
55	0.3663886007
56	0.3657603963
57	0.365252711
58	0.3647108714
59	0.3642963409
60	0.3637139384
61	0.3633545176
62	0.3627736918
63	0.3624487813
64	0.3619062805
65	0.3613896434
66	0.3609808095
67	0.3605858612
68	0.3598995972
69	0.3594710541
70	0.3590537771
71	0.3584526316
72	0.3579808044
73	0.3575966899
74	0.3571650696
75	0.3567844645
76	0.356477712
77	0.3561043294
78	0.3557106527
79	0.3552095032
80	0.3549043783
81	0.3546220144
82	0.3544254557
83	0.354140803
84	0.3537836711
85	0.3531834666
86	0.3528476206
87	0.3525884501
88	0.3523007711
89	0.3519535065
90	0.3515267436
91	0.351328125
92	0.3510748291
93	0.3508231608
94	0.3505447388
95	0.3502064514
96	0.3497808584
97	0.3494877625
98	0.3492827861
99	0.3490112813
100	0.3486893972
101	0.3484140523
102	0.3481139119
103	0.3477789815
104	0.3474411011
105	0.3471751149
106	0.3467981211
107	0.346529363
108	0.346299057
109	0.3461072286
110	0.345808843
111	0.3455012512
112	0.3451168823
113	0.3448880514
114	0.344503123
115	0.3443058268
116	0.3441245524
117	0.3438780721
118	0.3436184692
119	0.3432467651
120	0.3430615234
121	0.3428469849
122	0.3427277629
123	0.3425383759
124	0.342244161
125	0.3419485982
126	0.3418309021
127	0.3415173594
128	0.3412292989
129	0.341055781
130	0.3408069102
131	0.3405684662
132	0.3404140727
133	0.3401476542
134	0.3398587799
135	0.3395200602
136	0.3391178131
137	0.3388765462
138	0.3386080424
139	0.3383333333
140	0.3380791219
141	0.3378118642
142	0.3374463654
143	0.3373015086
144	0.3369151815
145	0.3367184957
146	0.33653567
147	0.3362574259
148	0.3360442098
149	0.3359027863
150	0.3356228892
151	0.3353075918
152	0.3350973765
153	0.3347809347
154	0.3345790609
155	0.3343568929
156	0.3340583801
157	0.3337444051
158	0.3334858704
159	0.3332286326
160	0.3329881287
161	0.3327474213
162	0.3325660197
163	0.3323309835
164	0.3320657349
165	0.3318469238
166	0.3316952006
167	0.3313976542
168	0.3311351776
169	0.3308928935
170	0.330678304
171	0.3304318746
172	0.3302255758
173	0.3300108337
174	0.3298445129
175	0.3295008596
176	0.3292958069
177	0.3289768219
178	0.3287620036
179	0.3284963481
180	0.3282424418
181	0.3280182902
182	0.3277172597
183	0.3275411479
184	0.3272447968
185	0.3270459493
186	0.3267606099
187	0.3264791616
188	0.3262687174
189	0.3260844421
190	0.3259221903
191	0.3256854502
192	0.325536143
193	0.3253100332
194	0.3250638835
195	0.3248727163
196	0.324495341
197	0.324266866
198	0.3241240184
199	0.3239060974
200	0.3235025024
201	0.3232318115
202	0.3229133606
203	0.3226685842
204	0.3222796122
205	0.3221281179
206	0.3219340261
207	0.3217562358
208	0.3214978027
209	0.3212697347
210	0.3209842428
211	0.3207172902
212	0.3203598531
213	0.3200541687
214	0.3197936249
215	0.3195158386
216	0.3192923991
217	0.3189719899
218	0.3186707306
219	0.3184056091
220	0.3181437937
221	0.3178443909
222	0.3175075785
223	0.3172370911
224	0.3170463053
225	0.3168576558
226	0.3165605418
227	0.3162785339
228	0.316005249
229	0.3157961019
230	0.3156599426
231	0.3153336589
232	0.3150665283
233	0.3146931458
234	0.3144155375
235	0.3141686503
236	0.313821106
237	0.3137112681
238	0.3134517415
239	0.3132199097
240	0.3128657023
241	0.3126627604
242	0.3124403381
243	0.3121783447
244	0.3119072469
245	0.3116883341
246	0.3113937887
247	0.3111236827
248	0.3109244283
249	0.3106652069
250	0.3103062948
251	0.3100581868
252	0.3097778829
253	0.3093063863
254	0.3090753174
255	0.3088577779
256	0.308612442
257	0.3083426921
258	0.3079827627
259	0.3078210704
260	0.307554601
261	0.307299703
262	0.3070855459
263	0.3069057465
264	0.3066395569
265	0.3064214071
266	0.3061484273
267	0.3060077922
268	0.3057282511
269	0.3054644267
270	0.3051946259
271	0.3050180054
272	0.3047762044
273	0.304458669
274	0.3042517344
275	0.3040024312
276	0.303739802
277	0.3035121409
278	0.3032657369
279	0.3031006368
280	0.3029092153
281	0.3027301025
282	0.3024141439
283	0.3020967356
284	0.3018384806
285	0.3015771484
286	0.3012638855
287	0.3010284424
288	0.3008146159
289	0.3005487569
290	0.3003392537
291	0.3001369476
292	0.2999256897
293	0.2997555542
294	0.2995796967
295	0.2992720286
296	0.2990905762
297	0.2989029948
298	0.2985502116
299	0.2983172099
