iter	Passed	Remaining
0	14	4318
1	36	5443
2	51	5081
3	60	4506
4	68	4043
5	78	3838
6	85	3570
7	102	3728
8	117	3804
9	128	3719
10	137	3622
11	145	3493
12	154	3411
13	162	3324
14	171	3264
15	180	3201
16	196	3267
17	211	3313
18	226	3355
19	276	3867
20	292	3881
21	308	3898
22	318	3841
23	328	3774
24	335	3695
25	353	3729
26	365	3691
27	376	3658
28	389	3635
29	400	3604
30	413	3585
31	428	3588
32	461	3733
33	479	3751
34	505	3824
35	517	3797
36	527	3749
37	538	3711
38	549	3678
39	560	3642
40	570	3605
41	582	3576
42	592	3539
43	602	3506
44	614	3483
45	635	3509
46	652	3515
47	669	3514
48	685	3510
49	704	3520
50	714	3488
51	723	3450
52	730	3404
53	743	3388
54	752	3351
55	758	3306
56	766	3266
57	772	3223
58	778	3181
59	787	3148
60	794	3112
61	802	3081
62	809	3044
63	817	3015
64	825	2983
65	834	2957
66	841	2925
67	854	2916
68	864	2892
69	870	2861
70	879	2837
71	886	2807
72	895	2784
73	902	2755
74	910	2732
75	923	2722
76	931	2696
77	942	2681
78	950	2657
79	964	2651
80	975	2636
81	988	2628
82	995	2603
83	1005	2585
84	1012	2560
85	1020	2540
86	1029	2519
87	1061	2557
88	1082	2567
89	1116	2605
90	1142	2624
91	1171	2649
92	1187	2643
93	1196	2621
94	1204	2598
95	1215	2582
96	1222	2557
97	1231	2537
98	1243	2523
99	1251	2503
100	1262	2488
101	1269	2464
102	1283	2455
103	1294	2439
104	1305	2425
105	1315	2407
106	1324	2388
107	1332	2369
108	1342	2351
109	1350	2332
110	1359	2314
111	1367	2295
112	1374	2273
113	1380	2252
114	1387	2232
115	1394	2211
116	1400	2191
117	1406	2169
118	1414	2151
119	1419	2129
120	1425	2108
121	1432	2090
122	1437	2068
123	1447	2054
124	1455	2038
125	1465	2023
126	1472	2005
127	1478	1987
128	1483	1966
129	1491	1949
130	1496	1930
131	1501	1910
132	1511	1897
133	1517	1879
134	1524	1862
135	1529	1844
136	1534	1826
137	1541	1809
138	1546	1791
139	1555	1777
140	1562	1761
141	1567	1744
142	1574	1728
143	1580	1712
144	1588	1698
145	1595	1683
146	1604	1669
147	1610	1654
148	1620	1642
149	1626	1626
150	1635	1614
151	1642	1599
152	1656	1592
153	1665	1578
154	1672	1564
155	1679	1550
156	1687	1536
157	1697	1525
158	1703	1510
159	1711	1497
160	1718	1483
161	1727	1471
162	1734	1457
163	1743	1445
164	1750	1432
165	1761	1421
166	1768	1408
167	1778	1397
168	1785	1384
169	1794	1372
170	1800	1358
171	1807	1345
172	1812	1330
173	1818	1316
174	1824	1303
175	1830	1289
176	1841	1279
177	1847	1266
178	1862	1258
179	1870	1246
180	1876	1233
181	1884	1221
182	1890	1208
183	1896	1195
184	1904	1183
185	1910	1170
186	1917	1158
187	1922	1145
188	1928	1132
189	1935	1120
190	1942	1108
191	1954	1099
192	1962	1088
193	1969	1076
194	1977	1064
195	1984	1052
196	1990	1040
197	1999	1029
198	2005	1018
199	2013	1006
200	2020	995
201	2028	984
202	2033	971
203	2042	961
204	2048	949
205	2055	938
206	2064	927
207	2072	916
208	2080	905
209	2088	894
210	2095	883
211	2102	872
212	2109	861
213	2115	850
214	2123	839
215	2129	828
216	2136	817
217	2142	806
218	2150	795
219	2157	784
220	2163	773
221	2171	762
222	2178	752
223	2185	741
224	2191	730
225	2199	720
226	2205	709
227	2213	698
228	2220	688
229	2228	678
230	2234	667
231	2243	657
232	2249	646
233	2258	637
234	2267	627
235	2276	617
236	2282	606
237	2290	596
238	2297	586
239	2305	576
240	2312	566
241	2321	556
242	2327	546
243	2337	536
244	2345	526
245	2354	516
246	2362	506
247	2371	497
248	2378	487
249	2388	477
250	2396	467
251	2403	457
252	2410	447
253	2418	438
254	2425	428
255	2433	418
256	2440	408
257	2449	398
258	2456	388
259	2465	379
260	2472	369
261	2481	359
262	2488	350
263	2495	340
264	2502	330
265	2509	320
266	2515	310
267	2522	301
268	2529	291
269	2536	281
270	2543	272
271	2550	262
272	2557	252
273	2564	243
274	2570	233
275	2577	224
276	2585	214
277	2593	205
278	2599	195
279	2606	186
280	2611	176
281	2618	167
282	2623	157
283	2629	148
284	2637	138
285	2642	129
286	2652	120
287	2659	110
288	2667	101
289	2673	92
290	2682	82
291	2687	73
292	2695	64
293	2700	55
294	2706	45
295	2713	36
296	2720	27
297	2729	18
298	2736	9
299	2744	0
